,label,tweet,tweets_length,cleaned_tweets,label_code
0,anger,"Soal jln Jatibaru,polisi tdk bs GERTAK gubernur .Emangny polisi tdk ikut pmbhasan? Jgn berpolitik. Pengaturan wilayah,hak gubernur. Persoalan Tn Abang soal turun temurun.Pelik.Perlu kesabaran. [USERNAME] [USERNAME] [URL]",31,soal jln jatibaru polisi tdk bs gertak gubernur emangny polisi tdk ikut pmbhasan jgn politik atur wilayah hak gubernur soal tn abang soal turun turun pelik perlu sabar username username url,0
1,anger,"Sesama cewe lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malem sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat.",35,sama cewe lho kayak harus bisa lebih rasain lah yang harus sibuk jaga diri rasain sakit haid dan panik pulang malem sendiri gimana orang asing wajar banyak korban yang takut curhat bukan bela malah hujat,0
2,happy,"Kepingin gudeg mbarek Bu hj. Amad Foto dari google, sengaja, biar teman-teman jg membayangkannya. Berbagi itu indah.",18,kepingin gudeg mbarek bu hj amad foto dari google sengaja biar teman teman jg bayang bagi itu indah,1
3,anger,"Jln Jatibaru,bagian dari wilayah Tn Abang.Pengaturan wilayah tgg jwb dan wwnang gub.Tng Abng soal rumit,sejak gub2 , trdahulu.Skrg sedng dibenahi,agr bermnfaat semua pihak.Mohon yg punya otak,berpikirlah dgn wajar,kecuali otaknya butek.Ya kamu. [URL]",41,jln jatibaru bagi dari wilayah tn abang atur wilayah tgg jwb dan wwnang gub tng abng soal rumit sejak gub2 trdahulu skrg sedng benah agr bermnfaat semua pihak mohon yg punya otak pikir dgn wajar kecuali otak butek ya kamu url,0
4,happy,"Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun pasar senen, lancar, antrian tidak terlalu rame,15 menitan dan beress semua! Mungkin bisa dicoba twips, di jam-jam segitu  cc [USERNAME]",33,sharing alam aja kemarin jam 18 00 batalin tiket di stasiun pasar senen lancar antri tidak terlalu rame 15 menit dan beress semua mungkin bisa coba twips di jam jam segitu cc username,1
5,anger,"Dari sekian banyak thread yang aku baca, thread ini paling aneh sih dalam penulisan. Sumpah aneh bgt, mau ngatain ""lebay"" aja segala bikin thread hadeh. Aku juga ga jago nulis, tapi tulisan aku ga seberantakan thread mbaknya.",37,dari sekian banyak thread yang aku baca thread ini paling aneh sih dalam tulis sumpah aneh bgt mau ngatain lebay aja segala bikin thread hadeh aku juga ga jago nulis tapi tulis aku ga beranta thread mbak,0
6,happy,Sharing sama temen tuh emg guna bgt. Disaat lu ngerasa masalah lu berat bgt ternyata temen kita sendiri punya masalah lebih berat dr kita. Malah masalah kita ngga ada apa2nya dibanding masalah dia.,33,sharing sama temen tuh emg guna bgt saat lu ngerasa masalah lu berat bgt nyata temen kita sendiri punya masalah lebih berat dr kita malah masalah kita ngga ada apa2nya banding masalah dia,1
7,sadness,"Orang lain kalau pake ponco itu buat jas hujan, nah dia pake buat kasur. Ya tadi gara2 saking gak punya apa2. Mamak bilang, kami tuh di awal pernikan gak ada ngalamin bulan madu kayak skrg2. Org tidur nya aja pake ponco. Gimane mau bulan madu.",45,orang lain kalau pake ponco itu buat jas hujan nah dia pake buat kasur ya tadi gara2 saking gak punya apa2 mamak bilang kami tuh di awal pernik gak ada ngalamin bulan madu kayak skrg2 org tidur nya aja pake ponco gimane mau bulan madu,2
8,anger,"Contoh mereka yg gemar menyudutkan, teriak paling toleran tp gemar menuduh, gemar men-judge seseorang berdasarkan versi mereka. Cukup tau saja.",21,contoh mereka yg gemar sudut teriak paling toleran tp gemar tuduh gemar men judge orang dasar versi mereka cukup tau saja,0
9,sadness,Pulang udah H-4 lebaran dilema sekali. Seperti tidak bisa melakukan apa2 dirumah sebelum lebaran. Buka puasa bareng cuman 3 hari sama keluarga begitu juga sahur.,26,pulang udah h 4 lebaran dilema sekali seperti tidak bisa laku apa2 rumah belum lebaran buka puasa bareng cuman 3 hari sama keluarga begitu juga sahur,2
